area_name,city,latitude,longitude,street_light,crowd,crime_area,nearby_shop,open_businesses,recent_crime_reports,crime_type,timestamp,safety_score
Pimpri,Pune,18.503818,73.844232,good,medium,low,False,36,5,robbery,2026-10-26 00:35,77
Baner,Pune,18.569056,73.844703,moderate,low,medium,False,28,2,snatching,2026-01-15 05:13,46
Shivaji Nagar,Pune,18.598095,73.700523,good,medium,low,True,12,6,theft,2026-06-14 15:39,82
Kharadi,Pune,18.555221,73.809392,poor,low,high,True,12,7,harassment,2026-07-06 21:03,14
Chinchwad,Pune,18.595616,73.712678,poor,low,low,True,11,2,snatching,2026-05-30 22:35,59
Pimpri,Pune,18.57723,73.878323,moderate,high,high,True,28,5,harassment,2026-04-06 16:00,45
Camp,Pune,18.496667,73.944269,good,low,medium,False,18,7,none,2026-11-05 01:06,41
Hadapsar,Pune,18.477631,73.787396,moderate,medium,medium,True,28,5,none,2026-06-29 01:46,60
Yerwada,Pune,18.601259,73.746093,good,high,low,True,33,4,harassment,2026-06-30 13:13,88
Pashan,Pune,18.537188,73.846333,poor,medium,medium,True,25,4,none,2026-09-22 07:57,53
Viman Nagar,Pune,18.591514,73.942439,good,high,high,True,32,7,harassment,2026-05-02 07:32,49
Shivaji Nagar,Pune,18.585959,73.727139,good,high,medium,False,12,2,theft,2026-02-14 09:16,71
MG Road,Pune,18.470036,73.845638,moderate,medium,medium,False,16,6,robbery,2026-08-11 12:21,49
Pashan,Pune,18.631212,73.906661,good,low,low,False,24,3,harassment,2026-01-22 07:28,68
Baner,Pune,18.54282,73.837519,moderate,low,low,True,11,4,snatching,2026-11-02 22:25,63
Aundh,Pune,18.487153,73.930754,poor,low,high,False,37,1,none,2026-08-02 20:08,24
Camp,Pune,18.523819,73.861753,good,high,high,True,9,6,snatching,2026-02-04 15:06,52
Hadapsar,Pune,18.633762,73.881066,moderate,low,low,False,31,7,robbery,2026-02-13 20:12,46
Chinchwad,Pune,18.52041,73.863884,moderate,medium,medium,True,11,2,theft,2026-03-30 06:54,69
Kothrud,Pune,18.583148,73.90381,good,medium,medium,False,2,3,robbery,2026-09-19 05:31,68
